Node 3 final: rounds=11, multicasts=2, min_time=5 (10), avg_time=53.45, max_time=245 (2)
Node 4 final: rounds=11, multicasts=1, min_time=5 (10), avg_time=53.45, max_time=250 (2)
Node 5 final: rounds=11, multicasts=2, min_time=5 (10), avg_time=53.55, max_time=245 (2)
Node 6 final: rounds=11, multicasts=0, min_time=5 (10), avg_time=53.55, max_time=245 (2)
Node 7 final: rounds=11, multicasts=0, min_time=5 (10), avg_time=53.55, max_time=245 (2)
Node 9 final: rounds=11, multicasts=2, min_time=5 (10), avg_time=53.55, max_time=241 (2)
Node 8 final: rounds=11, multicasts=1, min_time=5 (10), avg_time=53.55, max_time=245 (2)
Node 11 final: rounds=11, multicasts=0, min_time=5 (10), avg_time=53.45, max_time=238 (2)
Node 10 final: rounds=11, multicasts=0, min_time=5 (10), avg_time=53.55, max_time=237 (2)
Node 12 final: rounds=11, multicasts=0, min_time=5 (10), avg_time=53.45, max_time=238 (2)
