Node 58 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.70, max_time=121 (1)
Node 59 final: rounds=10, multicasts=1, min_time=6 (9), avg_time=33.70, max_time=122 (1)
Node 60 final: rounds=10, multicasts=1, min_time=7 (9), avg_time=33.70, max_time=125 (1)
Node 61 final: rounds=10, multicasts=2, min_time=7 (7), avg_time=33.70, max_time=127 (1)
Node 62 final: rounds=10, multicasts=0, min_time=7 (7), avg_time=33.70, max_time=130 (1)
Node 63 final: rounds=10, multicasts=1, min_time=7 (7), avg_time=33.70, max_time=129 (1)
Node 0 final: rounds=11, multicasts=2, min_time=7 (1), avg_time=31.27, max_time=133 (2)
Node 1 final: rounds=11, multicasts=1, min_time=7 (1), avg_time=31.27, max_time=136 (2)
Node 2 final: rounds=11, multicasts=2, min_time=7 (8), avg_time=31.27, max_time=132 (2)
Node 3 final: rounds=11, multicasts=1, min_time=7 (8), avg_time=31.27, max_time=127 (2)
Node 4 final: rounds=11, multicasts=0, min_time=6 (10), avg_time=31.27, max_time=127 (2)
Node 5 final: rounds=11, multicasts=1, min_time=7 (8), avg_time=31.18, max_time=126 (2)
Node 6 final: rounds=11, multicasts=1, min_time=7 (10), avg_time=31.18, max_time=122 (2)
Node 7 final: rounds=11, multicasts=1, min_time=7 (8), avg_time=31.18, max_time=117 (2)
Node 8 final: rounds=11, multicasts=1, min_time=7 (8), avg_time=31.18, max_time=120 (2)

--- Experiment n=128 ---
Node 118 final: rounds=9, multicasts=0, min_time=12 (9), avg_time=99.89, max_time=434 (1)
Node 119 final: rounds=9, multicasts=2, min_time=13 (9), avg_time=100.00, max_time=434 (1)
Node 120 final: rounds=9, multicasts=1, min_time=13 (9), avg_time=100.00, max_time=440 (1)
Node 121 final: rounds=9, multicasts=1, min_time=13 (9), avg_time=100.00, max_time=446 (1)
Node 122 final: rounds=9, multicasts=0, min_time=13 (9), avg_time=99.89, max_time=445 (1)
Node 123 final: rounds=9, multicasts=1, min_time=13 (9), avg_time=99.89, max_time=445 (1)
Node 124 final: rounds=9, multicasts=1, min_time=13 (9), avg_time=99.89, max_time=451 (1)
Node 125 final: rounds=9, multicasts=1, min_time=12 (9), avg_time=99.89, max_time=456 (1)
Node 126 final: rounds=9, multicasts=0, min_time=13 (9), avg_time=100.00, max_time=461 (1)
Node 127 final: rounds=9, multicasts=2, min_time=13 (9), avg_time=100.00, max_time=461 (1)
Node 0 final: rounds=10, multicasts=2, min_time=9 (1), avg_time=90.90, max_time=466 (2)
Node 1 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=90.90, max_time=464 (2)
Node 2 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=90.90, max_time=458 (2)
Node 3 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=90.90, max_time=458 (2)
Node 4 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=90.90, max_time=450 (2)
Node 5 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=90.90, max_time=444 (2)
Node 6 final: rounds=10, multicasts=0, min_time=12 (10), avg_time=90.90, max_time=444 (2)
Node 7 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=444 (2)
Node 8 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=438 (2)
Node 9 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.00, max_time=431 (2)
Node 10 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.00, max_time=431 (2)
Node 11 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=431 (2)
Node 12 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=425 (2)
Node 13 final: rounds=10, multicasts=2, min_time=13 (10), avg_time=91.00, max_time=429 (2)
Node 14 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.00, max_time=429 (2)
Node 15 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.10, max_time=429 (2)
Node 16 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.10, max_time=424 (2)
Node 17 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.10, max_time=423 (2)
Node 18 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.00, max_time=417 (2)
Node 19 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=417 (2)
Node 20 final: rounds=10, multicasts=2, min_time=13 (10), avg_time=91.00, max_time=410 (2)
Node 21 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=404 (2)
Node 22 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=404 (2)
Node 23 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.00, max_time=397 (2)
Node 24 final: rounds=10, multicasts=2, min_time=12 (10), avg_time=91.00, max_time=391 (2)
Node 25 final: rounds=10, multicasts=0, min_time=12 (10), avg_time=91.00, max_time=390 (2)
Node 26 final: rounds=10, multicasts=1, min_time=12 (10), avg_time=91.00, max_time=389 (2)
Node 27 final: rounds=10, multicasts=1, min_time=12 (10), avg_time=91.00, max_time=382 (2)
Node 28 final: rounds=10, multicasts=2, min_time=12 (10), avg_time=91.00, max_time=375 (2)
Node 29 final: rounds=10, multicasts=2, min_time=12 (10), avg_time=91.00, max_time=375 (2)
Node 30 final: rounds=10, multicasts=2, min_time=12 (10), avg_time=91.00, max_time=374 (2)
Node 31 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.10, max_time=368 (2)
Node 32 final: rounds=10, multicasts=3, min_time=13 (10), avg_time=91.10, max_time=368 (2)
Node 33 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.10, max_time=364 (2)
Node 34 final: rounds=10, multicasts=0, min_time=13 (7), avg_time=91.10, max_time=357 (2)
Node 35 final: rounds=10, multicasts=2, min_time=13 (7), avg_time=91.20, max_time=356 (2)
Node 36 final: rounds=10, multicasts=4, min_time=13 (7), avg_time=91.10, max_time=362 (2)
Node 37 final: rounds=10, multicasts=1, min_time=13 (10), avg_time=91.10, max_time=360 (2)
Node 38 final: rounds=10, multicasts=0, min_time=13 (10), avg_time=91.10, max_time=353 (2)
Node 39 final: rounds=10, multicasts=0, min_time=14 (7), avg_time=91.20, max_time=353 (2)
